epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1462.2,0.91376,0.56058,0.00388,0.80673,0.7422,0.79804,0.58275,0.93797,0.53608,0.00462,0.000236804,0.000236804,0.000236804
2,3154.34,0.90722,0.53943,0.00394,0.7471,0.77654,0.79801,0.58416,0.94687,0.55334,0.0047,0.000470887,0.000470887,0.000470887
3,4661.77,0.94616,0.56376,0.00408,0.7718,0.76557,0.79456,0.57112,0.97044,0.57899,0.00496,0.000701043,0.000701043,0.000701043
4,6129.68,0.94037,0.56862,0.00409,0.74224,0.76662,0.78216,0.55713,0.97195,0.59084,0.00486,0.000696328,0.000696328,0.000696328
5,7624.42,0.9465,0.55792,0.00411,0.76526,0.73937,0.78997,0.56548,0.97525,0.57547,0.0049,0.000690438,0.000690438,0.000690438
6,8937,0.9492,0.55284,0.00413,0.73317,0.77391,0.7888,0.56157,0.98818,0.58129,0.00504,0.000684548,0.000684548,0.000684548
7,10634.8,0.92618,0.54125,0.00407,0.74949,0.78249,0.81156,0.58998,0.96806,0.54499,0.00491,0.000678657,0.000678657,0.000678657
8,12187.3,0.94308,0.55029,0.00421,0.76235,0.76997,0.78985,0.56524,0.96546,0.5654,0.0049,0.000672767,0.000672767,0.000672767
9,13787,0.92811,0.54193,0.00411,0.72737,0.78597,0.79839,0.57848,0.96673,0.58932,0.00484,0.000666876,0.000666876,0.000666876
10,15381.8,0.93893,0.53936,0.00407,0.76734,0.74607,0.78762,0.56964,0.96416,0.5619,0.00484,0.000660986,0.000660986,0.000660986
11,17252.6,0.91185,0.53124,0.00401,0.72028,0.80184,0.80115,0.58436,0.94331,0.54037,0.00477,0.000655095,0.000655095,0.000655095
12,18809.5,0.9056,0.51825,0.00399,0.75603,0.77574,0.79424,0.57686,0.96573,0.56018,0.00486,0.000649204,0.000649204,0.000649204
13,20149.3,0.90646,0.51627,0.004,0.77115,0.75899,0.81387,0.59063,0.93573,0.56023,0.00471,0.000643314,0.000643314,0.000643314
14,21674.7,0.91387,0.51079,0.00393,0.74458,0.77094,0.79505,0.57643,0.95592,0.56838,0.00476,0.000637423,0.000637423,0.000637423
15,22999,0.89664,0.51235,0.0039,0.7956,0.75913,0.81476,0.58376,0.94252,0.56427,0.00474,0.000631533,0.000631533,0.000631533
16,24333.4,0.90192,0.50095,0.00395,0.81091,0.74151,0.80737,0.58492,0.94848,0.55033,0.00474,0.000625642,0.000625642,0.000625642
17,26034.2,0.89143,0.5016,0.00388,0.78418,0.74143,0.81494,0.59123,0.94268,0.55588,0.00474,0.000619752,0.000619752,0.000619752
18,27413.7,0.8844,0.49856,0.00383,0.76277,0.78713,0.81724,0.59622,0.9427,0.55536,0.00468,0.000613862,0.000613862,0.000613862
19,28829.5,0.88521,0.49267,0.00381,0.80063,0.74879,0.82255,0.60054,0.94387,0.53599,0.00471,0.000607971,0.000607971,0.000607971
20,30402.1,0.88422,0.48003,0.00383,0.78068,0.75117,0.81617,0.59155,0.95075,0.54266,0.0048,0.000602081,0.000602081,0.000602081
21,31970.8,0.87505,0.48282,0.0038,0.73597,0.77819,0.80324,0.58837,0.93172,0.55334,0.00462,0.00059619,0.00059619,0.00059619
22,33773.7,0.87038,0.47604,0.00381,0.8006,0.76913,0.82665,0.59859,0.92688,0.55657,0.00457,0.0005903,0.0005903,0.0005903
23,35336.9,0.86187,0.46828,0.00372,0.80613,0.74487,0.79989,0.57821,0.95125,0.56147,0.00478,0.000584409,0.000584409,0.000584409
24,36925.5,0.85754,0.46952,0.00369,0.75338,0.78337,0.81085,0.58227,0.94959,0.56469,0.00479,0.000578519,0.000578519,0.000578519
25,38741.3,0.85697,0.46299,0.00372,0.78357,0.76645,0.82047,0.59284,0.94024,0.54461,0.00467,0.000572628,0.000572628,0.000572628
26,40438.5,0.8471,0.45189,0.00361,0.7865,0.77484,0.81292,0.58962,0.92324,0.53827,0.00467,0.000566737,0.000566737,0.000566737
27,42139.8,0.8514,0.46127,0.00364,0.791,0.76909,0.81357,0.58692,0.92794,0.56213,0.00463,0.000560847,0.000560847,0.000560847
28,43787.5,0.84474,0.45447,0.00361,0.78424,0.76574,0.8148,0.59385,0.92806,0.56133,0.0046,0.000554956,0.000554956,0.000554956
29,45539.3,0.84215,0.45065,0.00362,0.79998,0.76302,0.81507,0.59516,0.92723,0.55884,0.0046,0.000549066,0.000549066,0.000549066
30,47270.8,0.84755,0.45591,0.00354,0.78498,0.7531,0.80583,0.58617,0.93114,0.56693,0.00463,0.000543175,0.000543175,0.000543175
31,48741.7,0.82923,0.44212,0.00357,0.76238,0.7895,0.82171,0.60274,0.92016,0.5326,0.00462,0.000537285,0.000537285,0.000537285
32,50215.6,0.8267,0.43092,0.00359,0.74045,0.7867,0.8122,0.5982,0.91963,0.54937,0.0046,0.000531395,0.000531395,0.000531395
33,51749.4,0.81725,0.43303,0.00347,0.79092,0.76295,0.82245,0.59788,0.92491,0.57221,0.00462,0.000525504,0.000525504,0.000525504
34,53494.8,0.82706,0.4335,0.00354,0.80233,0.771,0.82316,0.59784,0.92613,0.56109,0.00464,0.000519613,0.000519613,0.000519613
35,54905.3,0.81797,0.42972,0.00349,0.83357,0.72671,0.81147,0.58835,0.93032,0.56164,0.00464,0.000513723,0.000513723,0.000513723
36,56241,0.80904,0.41714,0.00344,0.81279,0.77255,0.82769,0.60762,0.93701,0.55992,0.00468,0.000507833,0.000507833,0.000507833
37,57877.8,0.80191,0.41248,0.00337,0.79927,0.77959,0.82828,0.60374,0.92512,0.54661,0.0046,0.000501942,0.000501942,0.000501942
38,59299.9,0.80036,0.40911,0.0034,0.81422,0.73624,0.81225,0.58252,0.92921,0.57006,0.00463,0.000496052,0.000496052,0.000496052
39,60917,0.7995,0.40628,0.00336,0.78361,0.78529,0.81632,0.5948,0.92491,0.56184,0.00458,0.000490161,0.000490161,0.000490161
40,62408.5,0.7817,0.40035,0.00334,0.78375,0.79423,0.81363,0.59385,0.92708,0.56291,0.00463,0.000484271,0.000484271,0.000484271
41,64042,0.79792,0.40905,0.00333,0.82412,0.73499,0.81071,0.59039,0.93371,0.55451,0.00462,0.00047838,0.00047838,0.00047838
42,65880,0.7839,0.39595,0.00327,0.79909,0.77103,0.80687,0.59067,0.92358,0.56873,0.00464,0.000472489,0.000472489,0.000472489
43,67393.5,0.78093,0.40024,0.00334,0.77993,0.80496,0.82112,0.60592,0.9134,0.54616,0.0045,0.000466599,0.000466599,0.000466599
44,69037.9,0.78046,0.39729,0.00332,0.79304,0.78676,0.81288,0.59624,0.9236,0.55033,0.00456,0.000460709,0.000460709,0.000460709
45,70766.1,0.76407,0.38306,0.0032,0.77567,0.77665,0.81486,0.60062,0.91995,0.59249,0.00456,0.000454818,0.000454818,0.000454818
46,72644.2,0.76727,0.38721,0.00329,0.76943,0.8048,0.82635,0.60821,0.91103,0.54824,0.00446,0.000448928,0.000448928,0.000448928
47,74425.4,0.76773,0.38748,0.00321,0.7863,0.78587,0.81447,0.59976,0.9207,0.57343,0.00458,0.000443037,0.000443037,0.000443037
48,76136.3,0.77049,0.3828,0.00323,0.76488,0.79392,0.81354,0.59752,0.92587,0.57739,0.00458,0.000437147,0.000437147,0.000437147
49,77836.8,0.75479,0.38105,0.00324,0.78321,0.77258,0.80619,0.59715,0.90933,0.55605,0.00453,0.000431256,0.000431256,0.000431256
50,79283.4,0.76352,0.38978,0.00319,0.77098,0.81995,0.81858,0.60738,0.91979,0.56605,0.00452,0.000425365,0.000425365,0.000425365
51,80994.6,0.74652,0.37257,0.00318,0.79308,0.80579,0.81849,0.59941,0.91504,0.54607,0.00452,0.000419475,0.000419475,0.000419475
52,82519,0.74586,0.3705,0.00307,0.81784,0.76188,0.82004,0.6034,0.92032,0.57236,0.00458,0.000413584,0.000413584,0.000413584
53,84093.9,0.74175,0.36581,0.00319,0.77548,0.81168,0.81651,0.60408,0.91574,0.55931,0.00455,0.000407694,0.000407694,0.000407694
54,85589,0.75333,0.3736,0.0031,0.79318,0.78192,0.81072,0.60257,0.9084,0.56038,0.00449,0.000401804,0.000401804,0.000401804
55,87214.1,0.7426,0.36426,0.00312,0.80181,0.76874,0.81911,0.60781,0.90791,0.5651,0.00447,0.000395913,0.000395913,0.000395913
56,88472.7,0.73663,0.36319,0.00308,0.78324,0.8051,0.81117,0.59773,0.91556,0.57001,0.00453,0.000390023,0.000390023,0.000390023
57,90109.1,0.74155,0.36456,0.00305,0.78214,0.78555,0.80243,0.59611,0.90832,0.58771,0.00448,0.000384132,0.000384132,0.000384132
58,91564.2,0.72878,0.35813,0.00299,0.77123,0.79328,0.80804,0.60009,0.91233,0.58393,0.00452,0.000378242,0.000378242,0.000378242
59,93351.9,0.72543,0.34693,0.00304,0.77732,0.79889,0.82275,0.60625,0.90757,0.57553,0.00445,0.000372351,0.000372351,0.000372351
60,94655.5,0.74882,0.36468,0.00298,0.78065,0.78688,0.8121,0.60611,0.90733,0.58094,0.00446,0.00036646,0.00036646,0.00036646
