module,source_image,aug_image,source_label,aug_label,object_count
RandomBrightnessContrast,img_4class_2020.png,img_4class_2020_aug_RandomBrightnessContrast_00000.jpg,img_4class_2020.txt,img_4class_2020_aug_RandomBrightnessContrast_00000.txt,4
RandomBrightnessContrast,img_4class_1223.png,img_4class_1223_aug_RandomBrightnessContrast_00001.jpg,img_4class_1223.txt,img_4class_1223_aug_RandomBrightnessContrast_00001.txt,8
RandomBrightnessContrast,img_4class_3555.png,img_4class_3555_aug_RandomBrightnessContrast_00002.jpg,img_4class_3555.txt,img_4class_3555_aug_RandomBrightnessContrast_00002.txt,5
RandomBrightnessContrast,img_4class_3275.jpg,img_4class_3275_aug_RandomBrightnessContrast_00003.jpg,img_4class_3275.txt,img_4class_3275_aug_RandomBrightnessContrast_00003.txt,13
RandomBrightnessContrast,img_4class_3068.jpg,img_4class_3068_aug_RandomBrightnessContrast_00004.jpg,img_4class_3068.txt,img_4class_3068_aug_RandomBrightnessContrast_00004.txt,3
RandomBrightnessContrast,img_4class_2276.png,img_4class_2276_aug_RandomBrightnessContrast_00005.jpg,img_4class_2276.txt,img_4class_2276_aug_RandomBrightnessContrast_00005.txt,2
RandomBrightnessContrast,img_4class_1946.jpg,img_4class_1946_aug_RandomBrightnessContrast_00006.jpg,img_4class_1946.txt,img_4class_1946_aug_RandomBrightnessContrast_00006.txt,8
RandomBrightnessContrast,img_4class_1803.png,img_4class_1803_aug_RandomBrightnessContrast_00007.jpg,img_4class_1803.txt,img_4class_1803_aug_RandomBrightnessContrast_00007.txt,2
RandomBrightnessContrast,img_4class_4886.png,img_4class_4886_aug_RandomBrightnessContrast_00008.jpg,img_4class_4886.txt,img_4class_4886_aug_RandomBrightnessContrast_00008.txt,2
RandomBrightnessContrast,img_4class_1283.png,img_4class_1283_aug_RandomBrightnessContrast_00009.jpg,img_4class_1283.txt,img_4class_1283_aug_RandomBrightnessContrast_00009.txt,5
RandomBrightnessContrast,img_4class_1266.jpg,img_4class_1266_aug_RandomBrightnessContrast_00010.jpg,img_4class_1266.txt,img_4class_1266_aug_RandomBrightnessContrast_00010.txt,1
RandomBrightnessContrast,img_4class_1867.png,img_4class_1867_aug_RandomBrightnessContrast_00011.jpg,img_4class_1867.txt,img_4class_1867_aug_RandomBrightnessContrast_00011.txt,3
RandomBrightnessContrast,img_4class_3019.jpg,img_4class_3019_aug_RandomBrightnessContrast_00012.jpg,img_4class_3019.txt,img_4class_3019_aug_RandomBrightnessContrast_00012.txt,4
RandomBrightnessContrast,img_4class_3156.jpg,img_4class_3156_aug_RandomBrightnessContrast_00013.jpg,img_4class_3156.txt,img_4class_3156_aug_RandomBrightnessContrast_00013.txt,16
