epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,89.6217,1.60527,2.73039,0.00642,0.64495,0.56373,0.61192,0.39268,1.37266,1.74809,0.00682,0.00998718,0.00332906,0.00998718,0.00332906,0.00998718,0.00332906,0.00998718,0.00332906
2,159.292,1.57204,1.54544,0.00624,0.68646,0.60769,0.66821,0.43565,1.39515,1.2475,0.00698,0.0198882,0.00662941,0.0198882,0.00662941,0.0198882,0.00662941,0.0198882,0.00662941
3,223.186,1.6021,1.30424,0.00644,0.68537,0.6122,0.66283,0.40378,1.466,1.17551,0.00774,0.0296903,0.00989677,0.0296903,0.00989677,0.0296903,0.00989677,0.0296903,0.00989677
4,283.344,1.62929,1.23921,0.00665,0.72327,0.64926,0.71035,0.43689,1.44827,1.07662,0.00778,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515
5,343.47,1.59378,1.15182,0.00651,0.74435,0.67004,0.73338,0.46206,1.43277,0.964,0.00742,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
6,403.982,1.57923,1.11113,0.0064,0.73126,0.67417,0.74146,0.46993,1.39747,0.93438,0.00741,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525
7,464.943,1.55473,1.07593,0.00623,0.77556,0.72916,0.7737,0.48971,1.37466,0.87413,0.00717,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
8,525.56,1.52867,1.03042,0.0061,0.75972,0.7353,0.77948,0.50771,1.3365,0.8233,0.00682,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535
9,586.986,1.51529,1.00284,0.00597,0.80195,0.73158,0.78658,0.51647,1.33285,0.81872,0.00696,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
10,647.265,1.4917,0.98342,0.00592,0.78948,0.72728,0.79603,0.52481,1.29137,0.78448,0.00657,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545
11,707.08,1.48083,0.96654,0.00583,0.78815,0.74077,0.8061,0.52994,1.30523,0.78704,0.00661,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
12,766.931,1.47065,0.94382,0.00573,0.81218,0.74803,0.81625,0.54489,1.2789,0.74747,0.00638,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555
13,828.35,1.45945,0.93116,0.00567,0.83398,0.70854,0.8114,0.54615,1.26515,0.76523,0.00633,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
14,888.77,1.44612,0.91841,0.00562,0.78389,0.76598,0.81912,0.54916,1.24,0.72077,0.00618,0.0280695,0.0093565,0.0280695,0.0093565,0.0280695,0.0093565,0.0280695,0.0093565
15,949.606,1.43475,0.89713,0.00553,0.81357,0.76178,0.82298,0.55814,1.23854,0.72528,0.00614,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
16,1010.8,1.41493,0.88386,0.00552,0.79867,0.77041,0.8192,0.56407,1.22437,0.71898,0.00612,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575
17,1070.84,1.41815,0.87375,0.00545,0.82328,0.7566,0.82472,0.56277,1.23736,0.7039,0.00623,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
18,1131.09,1.42149,0.87553,0.00543,0.8195,0.75584,0.82614,0.56572,1.21204,0.69595,0.00598,0.0274755,0.0091585,0.0274755,0.0091585,0.0274755,0.0091585,0.0274755,0.0091585
19,1190.75,1.4055,0.86255,0.00534,0.8082,0.78197,0.81857,0.56353,1.21299,0.70458,0.00603,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
20,1252.03,1.39284,0.85404,0.00533,0.81145,0.75393,0.83281,0.57681,1.20015,0.7025,0.00591,0.0271785,0.0090595,0.0271785,0.0090595,0.0271785,0.0090595,0.0271785,0.0090595
21,1314.19,1.39595,0.85011,0.00531,0.82585,0.75418,0.83256,0.57703,1.18735,0.68329,0.00586,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
22,1373.86,1.38737,0.84224,0.0053,0.80983,0.78862,0.84793,0.58858,1.19449,0.67884,0.00586,0.0268815,0.0089605,0.0268815,0.0089605,0.0268815,0.0089605,0.0268815,0.0089605
23,1434.26,1.37425,0.82335,0.00522,0.82106,0.78743,0.84393,0.5888,1.18039,0.66384,0.00574,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
24,1494.79,1.36597,0.81543,0.00515,0.8011,0.79237,0.84116,0.58745,1.15937,0.6458,0.00568,0.0265845,0.0088615,0.0265845,0.0088615,0.0265845,0.0088615,0.0265845,0.0088615
25,1554.69,1.36872,0.81135,0.00517,0.80521,0.78334,0.84341,0.59956,1.17378,0.65388,0.00569,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
26,1614.47,1.35842,0.80803,0.00515,0.82701,0.78189,0.84575,0.59603,1.16523,0.64958,0.00564,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625
27,1675.11,1.35556,0.79668,0.00509,0.85152,0.75696,0.83889,0.58881,1.16556,0.64699,0.00564,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
28,1734.63,1.36009,0.79834,0.0051,0.81611,0.7987,0.84685,0.59876,1.14847,0.64885,0.00555,0.0259905,0.0086635,0.0259905,0.0086635,0.0259905,0.0086635,0.0259905,0.0086635
29,1794.71,1.33945,0.78577,0.00501,0.84431,0.78276,0.85637,0.60638,1.14223,0.63783,0.0055,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
30,1855.05,1.34295,0.78723,0.00501,0.80106,0.81284,0.85359,0.60443,1.13668,0.63434,0.00551,0.0256935,0.0085645,0.0256935,0.0085645,0.0256935,0.0085645,0.0256935,0.0085645
31,1914.93,1.33442,0.77871,0.00503,0.86413,0.7503,0.85028,0.60372,1.14157,0.65235,0.00553,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
32,1975.08,1.33004,0.77393,0.005,0.80677,0.80122,0.85115,0.60235,1.13766,0.63604,0.00547,0.0253965,0.0084655,0.0253965,0.0084655,0.0253965,0.0084655,0.0253965,0.0084655
33,2036.45,1.33356,0.77582,0.00492,0.79949,0.80183,0.85088,0.60829,1.13822,0.61957,0.00549,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
34,2095.96,1.31399,0.76247,0.0049,0.86066,0.77159,0.85138,0.60308,1.1388,0.63175,0.0055,0.0250995,0.0083665,0.0250995,0.0083665,0.0250995,0.0083665,0.0250995,0.0083665
35,2155.56,1.31614,0.76234,0.00493,0.83352,0.77874,0.84831,0.60638,1.13268,0.63093,0.00547,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
36,2215.73,1.31703,0.76607,0.00489,0.82123,0.79767,0.84826,0.60103,1.13846,0.62266,0.00547,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675
37,2275.46,1.31463,0.75913,0.00489,0.82494,0.79117,0.85003,0.6047,1.12941,0.63362,0.00548,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
38,2335.78,1.31791,0.75554,0.00492,0.82801,0.80168,0.85802,0.61654,1.1202,0.61791,0.00533,0.0245055,0.0081685,0.0245055,0.0081685,0.0245055,0.0081685,0.0245055,0.0081685
39,2397.29,1.31305,0.75292,0.00487,0.81893,0.82678,0.86277,0.62104,1.12619,0.60825,0.00537,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
40,2457.56,1.29823,0.7412,0.00484,0.82633,0.81469,0.86208,0.62064,1.11476,0.59573,0.00528,0.0242085,0.0080695,0.0242085,0.0080695,0.0242085,0.0080695,0.0242085,0.0080695
41,2517.17,1.3008,0.74608,0.00479,0.81754,0.83998,0.86217,0.61983,1.11645,0.59472,0.00531,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
42,2577.82,1.29155,0.72813,0.00478,0.83517,0.79058,0.85728,0.61529,1.11839,0.60728,0.00538,0.0239115,0.0079705,0.0239115,0.0079705,0.0239115,0.0079705,0.0239115,0.0079705
43,2637.71,1.29177,0.73959,0.00477,0.84681,0.79178,0.85439,0.61377,1.1033,0.59475,0.00527,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
44,2698.58,1.29491,0.73472,0.00476,0.85814,0.78931,0.8584,0.61578,1.10789,0.59355,0.00527,0.0236145,0.0078715,0.0236145,0.0078715,0.0236145,0.0078715,0.0236145,0.0078715
45,2760.29,1.29144,0.72952,0.00478,0.84458,0.81785,0.86517,0.62455,1.10874,0.59351,0.00526,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
46,2820.57,1.27756,0.72322,0.00475,0.84507,0.79261,0.85751,0.62074,1.10263,0.60078,0.00521,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725
47,2880.24,1.28492,0.72177,0.0047,0.85361,0.78994,0.86029,0.62192,1.10319,0.5967,0.0052,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
48,2940.31,1.275,0.71688,0.00472,0.84334,0.80214,0.85983,0.62637,1.09768,0.59372,0.00522,0.0230205,0.0076735,0.0230205,0.0076735,0.0230205,0.0076735,0.0230205,0.0076735
49,3000.34,1.2781,0.71741,0.00469,0.84017,0.80015,0.85913,0.62378,1.09129,0.59742,0.0052,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
50,3061.47,1.28569,0.72155,0.00465,0.83997,0.80262,0.86039,0.62611,1.09145,0.5949,0.00518,0.0227235,0.0075745,0.0227235,0.0075745,0.0227235,0.0075745,0.0227235,0.0075745
51,3122.65,1.27507,0.712,0.00468,0.85983,0.79173,0.86407,0.62912,1.08915,0.58597,0.00513,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
52,3183.56,1.26409,0.70534,0.00464,0.86234,0.78822,0.86516,0.6282,1.08641,0.58798,0.0051,0.0224265,0.0074755,0.0224265,0.0074755,0.0224265,0.0074755,0.0224265,0.0074755
53,3243.94,1.26198,0.70343,0.00466,0.84707,0.79913,0.86156,0.62863,1.08538,0.58664,0.00509,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
54,3304.06,1.25732,0.70425,0.00463,0.83211,0.81083,0.8733,0.6334,1.08594,0.5882,0.00507,0.0221295,0.0073765,0.0221295,0.0073765,0.0221295,0.0073765,0.0221295,0.0073765
55,3364.45,1.26007,0.7065,0.0046,0.85197,0.79538,0.87077,0.63363,1.08437,0.5891,0.00509,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
56,3426.01,1.25712,0.70489,0.00462,0.85356,0.80764,0.86745,0.63248,1.088,0.5904,0.0051,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775
57,3488.26,1.24485,0.6937,0.00456,0.86394,0.79033,0.86837,0.63046,1.08571,0.58989,0.0051,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
58,3549.4,1.24726,0.69122,0.00462,0.8305,0.8203,0.86589,0.62778,1.09022,0.58601,0.00516,0.0215355,0.0071785,0.0215355,0.0071785,0.0215355,0.0071785,0.0215355,0.0071785
59,3609.97,1.24289,0.68867,0.00454,0.85826,0.78988,0.86699,0.62934,1.08853,0.58628,0.00515,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
60,3669.99,1.24449,0.68782,0.00452,0.84935,0.79383,0.86579,0.62932,1.08497,0.58475,0.00514,0.0212385,0.0070795,0.0212385,0.0070795,0.0212385,0.0070795,0.0212385,0.0070795
61,3729.91,1.24452,0.68719,0.00452,0.86467,0.78796,0.86733,0.63095,1.08078,0.58546,0.0051,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
62,3792.09,1.2427,0.68107,0.00452,0.86776,0.78502,0.86463,0.62891,1.08259,0.58385,0.0051,0.0209415,0.0069805,0.0209415,0.0069805,0.0209415,0.0069805,0.0209415,0.0069805
