epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,14.6588,1.09175,0.33333,1,1.1272,0.000467977,0.000467977,0.000467977
2,28.4646,0.97547,0.48148,1,1.09436,0.000944079,0.000944079,0.000944079
3,41.6737,1.0011,0.50926,1,1.15918,0.00141926,0.00141926,0.00141926
4,54.7615,0.98653,0.42593,1,1.09595,0.00142586,0.00142586,0.00142586
5,67.8176,0.98272,0.49074,1,1.3208,0.00142342,0.00142342,0.00142342
6,80.8806,0.94042,0.44444,1,1.25439,0.00142029,0.00142029,0.00142029
7,93.9311,0.94751,0.49074,1,1.20435,0.00141647,0.00141647,0.00141647
8,106.988,0.93131,0.50926,1,1.20679,0.00141196,0.00141196,0.00141196
9,120.091,0.86225,0.49074,1,1.06604,0.00140678,0.00140678,0.00140678
10,133.212,0.82594,0.5,1,1.12292,0.00140091,0.00140091,0.00140091
11,146.247,0.91515,0.44444,1,1.2334,0.00139438,0.00139438,0.00139438
12,159.293,0.83372,0.57407,1,1.09912,0.00138718,0.00138718,0.00138718
13,172.358,0.7219,0.56481,1,1.01355,0.00137933,0.00137933,0.00137933
14,185.447,0.78392,0.5,1,1.00903,0.00137082,0.00137082,0.00137082
15,198.469,0.73455,0.55556,1,0.99365,0.00136168,0.00136168,0.00136168
16,211.517,0.76078,0.62963,1,0.90149,0.0013519,0.0013519,0.0013519
17,224.609,0.73764,0.61111,1,0.89209,0.0013415,0.0013415,0.0013415
18,237.684,0.68556,0.5463,1,1.00372,0.0013305,0.0013305,0.0013305
19,250.703,0.69257,0.64815,1,0.84656,0.00131888,0.00131888,0.00131888
20,263.812,0.66324,0.59259,1,1.05591,0.00130668,0.00130668,0.00130668
21,276.888,0.62275,0.58333,1,0.98828,0.00129391,0.00129391,0.00129391
22,289.993,0.65518,0.62037,1,1.10095,0.00128057,0.00128057,0.00128057
23,303.034,0.58547,0.55556,1,1.03674,0.00126667,0.00126667,0.00126667
24,316.083,0.61137,0.57407,1,0.91449,0.00125224,0.00125224,0.00125224
25,329.15,0.54953,0.60185,1,0.98743,0.00123728,0.00123728,0.00123728
26,342.236,0.59758,0.52778,1,1.15051,0.00122182,0.00122182,0.00122182
27,355.313,0.52588,0.64815,1,1.13013,0.00120586,0.00120586,0.00120586
28,368.419,0.48045,0.62037,1,1.14697,0.00118943,0.00118943,0.00118943
29,381.467,0.51526,0.65741,1,1.12439,0.00117253,0.00117253,0.00117253
30,394.632,0.54338,0.61111,1,0.81421,0.00115519,0.00115519,0.00115519
31,407.673,0.49639,0.69444,1,0.88135,0.00113742,0.00113742,0.00113742
32,420.746,0.4722,0.63889,1,0.80212,0.00111924,0.00111924,0.00111924
33,433.783,0.52087,0.67593,1,0.83435,0.00110066,0.00110066,0.00110066
34,446.914,0.50656,0.65741,1,0.82446,0.00108172,0.00108172,0.00108172
35,459.96,0.44947,0.67593,1,0.88123,0.00106242,0.00106242,0.00106242
36,473.001,0.45117,0.69444,1,0.9646,0.00104278,0.00104278,0.00104278
37,486.118,0.44346,0.63889,1,1.06677,0.00102282,0.00102282,0.00102282
38,499.22,0.39877,0.62037,1,0.9696,0.00100257,0.00100257,0.00100257
39,512.324,0.42097,0.65741,1,1.00464,0.00098204,0.00098204,0.00098204
40,525.368,0.37256,0.62037,1,1.14868,0.000961253,0.000961253,0.000961253
41,538.44,0.41634,0.67593,1,1.14551,0.00094023,0.00094023,0.00094023
42,551.547,0.40646,0.64815,1,0.8783,0.000918991,0.000918991,0.000918991
43,564.608,0.36471,0.66667,1,0.91858,0.000897557,0.000897557,0.000897557
44,577.675,0.37539,0.7037,1,0.84839,0.00087595,0.00087595,0.00087595
45,590.802,0.36064,0.75926,1,0.76221,0.00085419,0.00085419,0.00085419
46,603.981,0.32261,0.69444,1,0.8634,0.0008323,0.0008323,0.0008323
47,617.035,0.30866,0.72222,1,0.93176,0.0008103,0.0008103,0.0008103
48,630.114,0.29722,0.68519,1,1.16968,0.000788213,0.000788213,0.000788213
49,643.172,0.31623,0.7037,1,0.98804,0.00076606,0.00076606,0.00076606
50,656.267,0.30966,0.74074,1,0.87549,0.000743864,0.000743864,0.000743864
51,669.282,0.3266,0.69444,1,1.01794,0.000721645,0.000721645,0.000721645
52,682.356,0.31785,0.69444,1,0.83105,0.000699426,0.000699426,0.000699426
53,695.428,0.27008,0.72222,1,0.84875,0.00067723,0.00067723,0.00067723
54,708.558,0.29891,0.71296,1,0.81,0.000655077,0.000655077,0.000655077
55,721.639,0.31073,0.72222,1,1.02307,0.00063299,0.00063299,0.00063299
56,734.688,0.31605,0.68519,1,1.1687,0.00061099,0.00061099,0.00061099
57,747.781,0.28173,0.68519,1,1.0365,0.0005891,0.0005891,0.0005891
58,760.894,0.26119,0.71296,1,1.15222,0.00056734,0.00056734,0.00056734
59,773.954,0.31029,0.7037,1,0.91187,0.000545733,0.000545733,0.000545733
60,786.984,0.27662,0.7037,1,1.15283,0.000524299,0.000524299,0.000524299
61,800.052,0.25507,0.7037,1,0.91418,0.00050306,0.00050306,0.00050306
62,813.163,0.24814,0.71296,1,0.95428,0.000482037,0.000482037,0.000482037
63,826.219,0.25903,0.75,1,0.8916,0.00046125,0.00046125,0.00046125
64,839.295,0.23217,0.71296,1,0.81915,0.00044072,0.00044072,0.00044072
65,852.369,0.25068,0.74074,1,0.94287,0.000420468,0.000420468,0.000420468
