epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,9.30068,1.07705,0.40741,1,1.13166,0.000472118,0.000472118,0.000472118
2,18.8592,0.95817,0.52778,1,0.95287,0.00094822,0.00094822,0.00094822
3,28.436,0.86315,0.46296,1,1.69553,0.00142339,0.00142339,0.00142339
4,38.0467,0.8871,0.59259,1,1.49735,0.00142586,0.00142586,0.00142586
5,47.6907,0.84076,0.46296,1,1.39186,0.00142342,0.00142342,0.00142342
6,57.5884,0.76009,0.59259,1,1.19533,0.00142029,0.00142029,0.00142029
7,67.3207,0.73723,0.64815,1,0.79026,0.00141647,0.00141647,0.00141647
8,77.1309,0.67701,0.71296,1,0.76102,0.00141196,0.00141196,0.00141196
9,86.8665,0.66202,0.63889,1,0.846,0.00140678,0.00140678,0.00140678
10,96.5299,0.5845,0.68519,1,1.04169,0.00140091,0.00140091,0.00140091
11,106.321,0.59518,0.69444,1,0.79324,0.00139438,0.00139438,0.00139438
12,116.072,0.62558,0.62037,1,1.20675,0.00138718,0.00138718,0.00138718
13,125.867,0.57993,0.76852,1,0.52901,0.00137933,0.00137933,0.00137933
14,135.665,0.5653,0.68519,1,0.80497,0.00137082,0.00137082,0.00137082
15,145.341,0.5441,0.7037,1,0.66614,0.00136168,0.00136168,0.00136168
16,155.022,0.5763,0.64815,1,0.98909,0.0013519,0.0013519,0.0013519
17,164.747,0.53063,0.71296,1,0.76144,0.0013415,0.0013415,0.0013415
18,174.628,0.49553,0.72222,1,0.71533,0.0013305,0.0013305,0.0013305
19,184.556,0.50785,0.67593,1,0.81191,0.00131888,0.00131888,0.00131888
20,194.516,0.44823,0.67593,1,0.95355,0.00130668,0.00130668,0.00130668
21,204.506,0.51822,0.68519,1,0.95882,0.00129391,0.00129391,0.00129391
22,214.473,0.44134,0.66667,1,0.98826,0.00128057,0.00128057,0.00128057
23,224.442,0.42455,0.64815,1,0.97975,0.00126667,0.00126667,0.00126667
24,234.316,0.43473,0.68519,1,0.89475,0.00125224,0.00125224,0.00125224
25,244.262,0.48595,0.75926,1,0.72708,0.00123728,0.00123728,0.00123728
26,254.124,0.45578,0.71296,1,0.65437,0.00122182,0.00122182,0.00122182
27,263.766,0.40859,0.69444,1,1.05069,0.00120586,0.00120586,0.00120586
28,273.517,0.37863,0.59259,1,1.06287,0.00118943,0.00118943,0.00118943
29,283.308,0.35725,0.68519,1,0.90885,0.00117253,0.00117253,0.00117253
30,293.144,0.37543,0.69444,1,1.14907,0.00115519,0.00115519,0.00115519
31,302.984,0.37939,0.7037,1,1.11492,0.00113742,0.00113742,0.00113742
32,312.801,0.39914,0.69444,1,0.95314,0.00111924,0.00111924,0.00111924
33,322.586,0.36629,0.7963,1,0.69559,0.00110066,0.00110066,0.00110066
34,332.337,0.35702,0.75926,1,0.91685,0.00108172,0.00108172,0.00108172
35,342.078,0.34653,0.71296,1,0.84702,0.00106242,0.00106242,0.00106242
36,351.913,0.37354,0.71296,1,0.8488,0.00104278,0.00104278,0.00104278
37,361.738,0.3336,0.68519,1,0.85757,0.00102282,0.00102282,0.00102282
38,371.475,0.33929,0.67593,1,0.97229,0.00100257,0.00100257,0.00100257
39,381.179,0.35054,0.67593,1,1.11633,0.00098204,0.00098204,0.00098204
40,390.711,0.29615,0.69444,1,0.99094,0.000961253,0.000961253,0.000961253
41,400.209,0.29288,0.69444,1,1.20996,0.00094023,0.00094023,0.00094023
42,409.82,0.32655,0.72222,1,1.02229,0.000918991,0.000918991,0.000918991
43,419.557,0.30661,0.71296,1,0.90958,0.000897557,0.000897557,0.000897557
44,429.259,0.29202,0.67593,1,1.0515,0.00087595,0.00087595,0.00087595
45,438.997,0.24602,0.74074,1,0.76878,0.00085419,0.00085419,0.00085419
46,448.641,0.28437,0.63889,1,1.04697,0.0008323,0.0008323,0.0008323
47,458.339,0.24392,0.68519,1,0.93775,0.0008103,0.0008103,0.0008103
48,467.987,0.23578,0.71296,1,0.83112,0.000788213,0.000788213,0.000788213
49,477.644,0.246,0.71296,1,0.99244,0.00076606,0.00076606,0.00076606
50,487.44,0.24739,0.7037,1,0.95978,0.000743864,0.000743864,0.000743864
51,497.069,0.26728,0.72222,1,0.82481,0.000721645,0.000721645,0.000721645
52,506.672,0.2597,0.74074,1,0.81253,0.000699426,0.000699426,0.000699426
53,516.341,0.2419,0.71296,1,1.06534,0.00067723,0.00067723,0.00067723
